Class Name,Function Name,Error Message
org.apache.commons.collections.bag,AbstractBagDecorator,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_AbstractBagDecorator.html'
org.apache.commons.collections.bag,AbstractMapBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_AbstractMapBag.html'
org.apache.commons.collections.bag,AbstractMapBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_AbstractMapBag.html'
org.apache.commons.collections.bag,AbstractSortedBagDecorator,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_AbstractSortedBagDecorator.html'
org.apache.commons.collections.bag,CollectionBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_CollectionBag.html'
org.apache.commons.collections.bag,CollectionBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_CollectionBag.html'
org.apache.commons.collections.bag,CollectionSortedBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_CollectionSortedBag.html'
org.apache.commons.collections.bag,CollectionSortedBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_CollectionSortedBag.html'
org.apache.commons.collections.bag,HashBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_HashBag.html'
org.apache.commons.collections.bag,PredicatedBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_PredicatedBag.html'
org.apache.commons.collections.bag,PredicatedSortedBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_PredicatedSortedBag.html'
org.apache.commons.collections.bag,SynchronizedBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_SynchronizedBag.html'
org.apache.commons.collections.bag,SynchronizedSortedBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_SynchronizedSortedBag.html'
org.apache.commons.collections.bag,TransformedBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_TransformedBag.html'
org.apache.commons.collections.bag,TransformedSortedBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_TransformedSortedBag.html'
org.apache.commons.collections.bag,TreeBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_TreeBag.html'
org.apache.commons.collections.bag,UnmodifiableBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_UnmodifiableBag.html'
org.apache.commons.collections.bag,UnmodifiableSortedBag,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bag_UnmodifiableSortedBag.html'
org.apache.commons.collections.bidimap,AbstractBidiMapDecorator,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bidimap_AbstractBidiMapDecorator.html'
org.apache.commons.collections.bidimap,AbstractBidiMapDecorator,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bidimap_AbstractBidiMapDecorator.html'
org.apache.commons.collections.bidimap,AbstractDualBidiMap,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bidimap_AbstractDualBidiMap.html'
org.apache.commons.collections.bidimap,AbstractDualBidiMap,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bidimap_AbstractDualBidiMap.html'
org.apache.commons.collections.bidimap,AbstractDualBidiMap,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bidimap_AbstractDualBidiMap.html'
org.apache.commons.collections.bidimap,AbstractDualBidiMap,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bidimap_AbstractDualBidiMap.html'
org.apache.commons.collections.bidimap,AbstractDualBidiMap,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bidimap_AbstractDualBidiMap.html'
org.apache.commons.collections.bidimap,AbstractDualBidiMap,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bidimap_AbstractDualBidiMap.html'
org.apache.commons.collections.bidimap,AbstractOrderedBidiMapDecorator,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bidimap_AbstractOrderedBidiMapDecorator.html'
org.apache.commons.collections.bidimap,AbstractOrderedBidiMapDecorator,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bidimap_AbstractOrderedBidiMapDecorator.html'
org.apache.commons.collections.bidimap,AbstractSortedBidiMapDecorator,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bidimap_AbstractSortedBidiMapDecorator.html'
org.apache.commons.collections.bidimap,AbstractSortedBidiMapDecorator,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bidimap_AbstractSortedBidiMapDecorator.html'
org.apache.commons.collections.bidimap,DualHashBidiMap,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bidimap_DualHashBidiMap.html'
org.apache.commons.collections.bidimap,DualHashBidiMap,[Errno 2] No such file or directory: '../inputs/html_files/org.apache.commons.collections.bidimap_DualHashBidiMap.html'
