keys,docs,real
org.apache.commons.exec.environment_EnvironmentUtils_addVariableToEnvironment_(Map_String),Adds a key/value pair to the given environment.,sink
org.apache.commons.exec.launcher_CommandLauncher_exec_,,sink
org.apache.commons.exec_CommandLine_parse_(String),Create a command line from a string.,sink
org.apache.commons.exec_CommandLine_parse_(String_Map),Create a command line from a string.,sink
org.apache.commons.exec_CommandLine_addArguments_(String),Add multiple arguments.,sink
org.apache.commons.exec_CommandLine_addArguments_(String_boolean),Add multiple arguments.,sink
org.apache.commons.exec_CommandLine_addArguments_(String[]),,sink
org.apache.commons.exec_CommandLine_addArguments_(String[]_boolean),,sink
org.apache.commons.exec_Executor_execute_(CommandLine_Map),Executes a command synchronously.,sink
org.apache.commons.exec_Executor_execute_(CommandLine_Map_ExecuteResultHandler),Executes a command asynchronously.,sink
org.apache.commons.io_FileUtils_forceMkdir_(File),"Creates all directories for a File object, including any necessary but non-existent parent directories.",sink
org.apache.commons.io_FileUtils_moveDirectory_(File_File),Moves a directory.,sink
org.apache.commons.io_FileUtils_readFileToByteArray_(File),Reads the contents of a file into a byte array.,sink
org.apache.commons.io_FileUtils_readFileToString_(File_Charset),Reads the contents of a file into a String.,sink
org.apache.commons.io_FileUtils_writeLines_(File_String_Collection_String),"Writes the toString() value of each item in a collection to
 the specified File line by line.",sink
org.apache.commons.io_FileUtils_writeStringToFile_(File_String_Charset_boolean),"Writes a String to a file, creating the file if it does not exist.",sink
org.apache.commons.io_FileUtils_copyInputStreamToFile_(InputStream_File),"Copies bytes from an InputStream source to a file
 destination.",sink
org.apache.commons.io_FileUtils_copyInputStreamToFile_(InputStream_File),"Copies bytes from an InputStream source to a file
 destination.",sink
org.apache.commons.io_FileUtils_copyToFile_(InputStream_File),Copies bytes from an InputStream source to a File destination.,sink
org.apache.commons.io_FileUtils_copyToFile_(InputStream_File),Copies bytes from an InputStream source to a File destination.,sink
org.apache.commons.io_FileUtils_openInputStream_(File),"Opens a FileInputStream for the specified file, providing better error messages than simply calling
 new FileInputStream(file).",sink
org.apache.commons.io_IOUtils_resourceToString_(String_Charset),Gets the contents of a resource as a String using the specified character encoding.,sink
org.apache.commons.jelly_JellyContext_JellyContext_(JellyContext_URL_URL),,sink
org.apache.commons.jelly_JellyContext_JellyContext_(JellyContext_URL_URL),,sink
org.apache.commons.jelly_JellyContext_JellyContext_(JellyContext_URL),,sink
org.apache.commons.jelly_JellyContext_JellyContext_(URL_URL),,sink
