pkg,sink_class,sink_method,sink_context,source_class,source_method,source_context
com.ted.android_df2.xml,com.ted.android.view.BaseActivity,"boolean bindService(android.content.Intent,android.content.ServiceConnection,int)",com.ted.android.view.BaseActivity,com.google.android.gms.analytics.Tracker,java.lang.String get(java.lang.String),com.ted.android.analytics.GoogleAnalyticsTracker
com.ted.android_df2.xml,com.ted.android.view.BaseActivity,android.content.ComponentName startService(android.content.Intent),com.ted.android.view.BaseActivity,com.google.android.gms.analytics.Tracker,java.lang.String get(java.lang.String),com.ted.android.analytics.GoogleAnalyticsTracker
com.amazon.avod.thirdpartyclient_df2.xml,android.os.Bundle,"void putSerializable(java.lang.String,java.io.Serializable)",com.amazon.avod.playbackclient.activity.dispatch.playback.VideoDispatchIntent,com.google.android.gms.cast.MediaInfo,org.json.JSONObject getCustomData(),com.amazon.avod.googlecast.restrictions.GoogleCastRestrictionsManager
com.amazon.avod.thirdpartyclient_df2.xml,android.os.Bundle,"void putSerializable(java.lang.String,java.io.Serializable)",com.amazon.avod.playbackclient.activity.dispatch.playback.VideoDispatchIntent,com.google.android.gms.cast.MediaInfo,org.json.JSONObject getCustomData(),com.amazon.avod.googlecast.restrictions.GoogleCastRestrictionsManager
com.amazon.avod.thirdpartyclient_df2.xml,android.os.Bundle,"void putParcelable(java.lang.String,android.os.Parcelable)",com.amazon.avod.playbackclient.activity.dispatch.playback.VideoDispatchIntent,com.google.android.gms.cast.MediaInfo,org.json.JSONObject getCustomData(),com.amazon.avod.googlecast.restrictions.GoogleCastRestrictionsManager
com.amazon.avod.thirdpartyclient_df2.xml,android.os.Bundle,"void putParcelable(java.lang.String,android.os.Parcelable)",com.amazon.avod.clickstream.util.RefDataUtils,com.google.android.gms.cast.MediaInfo,org.json.JSONObject getCustomData(),com.amazon.avod.googlecast.restrictions.GoogleCastRestrictionsManager
com.tru_df2.xml,android.util.Log,"int w(java.lang.String,java.lang.String)",androidx.fragment.app.FragmentManagerImpl,com.google.android.gms.cast.framework.media.RemoteMediaClient,long getApproximateStreamPosition(),com.yupptvus.activity.MainActivity
com.tru_df2.xml,android.util.Log,"int w(java.lang.String,java.lang.String)",androidx.fragment.app.FragmentManagerImpl,com.google.android.gms.cast.MediaInfo,org.json.JSONObject getCustomData(),com.yupptvus.utils.ChromeCastUtils
com.tru_df2.xml,android.util.Log,"int w(java.lang.String,java.lang.String)",androidx.fragment.app.FragmentActivity,com.google.android.gms.cast.framework.media.RemoteMediaClient,long getApproximateStreamPosition(),com.yupptvus.activity.MainActivity
com.tru_df2.xml,android.util.Log,"int w(java.lang.String,java.lang.String)",androidx.fragment.app.FragmentActivity,com.google.android.gms.cast.MediaInfo,org.json.JSONObject getCustomData(),com.yupptvus.utils.ChromeCastUtils
com.tru_df2.xml,android.os.Bundle,"void putStringArrayList(java.lang.String,java.util.ArrayList)",com.freshchat.consumer.sdk.j.v,com.google.android.gms.cast.MediaInfo,org.json.JSONObject getCustomData(),com.yupptvus.utils.ChromeCastUtils
com.tru_df2.xml,android.util.Log,"int v(java.lang.String,java.lang.String)",androidx.fragment.app.FragmentManagerImpl,com.google.android.gms.cast.framework.media.RemoteMediaClient,long getApproximateStreamPosition(),com.yupptvus.activity.MainActivity
com.tru_df2.xml,android.util.Log,"int v(java.lang.String,java.lang.String)",androidx.fragment.app.FragmentManagerImpl,com.google.android.gms.cast.MediaInfo,org.json.JSONObject getCustomData(),com.yupptvus.utils.ChromeCastUtils
com.tru_df2.xml,com.clevertap.android.sdk.ab_testing.CTABTestController$ExecutionThreadHandler,boolean sendMessage(android.os.Message),com.clevertap.android.sdk.ab_testing.CTABTestController$EmulatorConnectRunnable,com.google.android.gms.cast.MediaInfo,org.json.JSONObject getCustomData(),com.yupptvus.utils.ChromeCastUtils
com.tru_df2.xml,android.os.Bundle,"void putSerializable(java.lang.String,java.io.Serializable)",com.yupptvus.activity.MainActivity,com.google.android.gms.cast.framework.media.RemoteMediaClient,long getApproximateStreamPosition(),com.yupptvus.activity.MainActivity
com.tru_df2.xml,android.os.Bundle,"void putSerializable(java.lang.String,java.io.Serializable)",com.yupptvus.activity.MainActivity,com.google.android.gms.cast.MediaInfo,org.json.JSONObject getCustomData(),com.yupptvus.utils.ChromeCastUtils
com.tru_df2.xml,android.os.Bundle,"void putParcelable(java.lang.String,android.os.Parcelable)",com.clevertap.android.sdk.CleverTapAPI,com.google.android.gms.cast.MediaInfo,org.json.JSONObject getCustomData(),com.yupptvus.utils.ChromeCastUtils
com.tru_df2.xml,androidx.core.app.ComponentActivity,"void startActivityForResult(android.content.Intent,int)",androidx.fragment.app.FragmentActivity,com.google.android.gms.cast.MediaInfo,org.json.JSONObject getCustomData(),com.yupptvus.utils.ChromeCastUtils
com.tru_df2.xml,androidx.core.app.ComponentActivity,"void startActivityForResult(android.content.Intent,int)",androidx.fragment.app.FragmentActivity,com.google.android.gms.cast.framework.media.RemoteMediaClient,long getApproximateStreamPosition(),com.yupptvus.activity.MainActivity
com.tru_df2.xml,android.util.Log,"int e(java.lang.String,java.lang.String)",androidx.fragment.app.FragmentManagerImpl,com.google.android.gms.cast.framework.media.RemoteMediaClient,long getApproximateStreamPosition(),com.yupptvus.activity.MainActivity
com.tru_df2.xml,android.util.Log,"int e(java.lang.String,java.lang.String)",androidx.fragment.app.FragmentManagerImpl,com.google.android.gms.cast.MediaInfo,org.json.JSONObject getCustomData(),com.yupptvus.utils.ChromeCastUtils
